Sample,DNA_conc_O,P260_O,P280_O,P260_280_O,P260_230_O
X7999,10,0.201,0.099,2.03,0.59
X8089,58.9,1.178,0.643,1.83,1.68
X8286,47,0.94,0.511,1.84,0.57
X8549,35.7,0.713,0.387,1.85,1.24
X8562,6.1,0.121,0.067,1.79,0.5
X8566,66.8,1.336,0.725,1.84,0.23
X8572,45.2,0.904,0.489,1.85,1.47
X8661,102.9,2.057,1.127,1.83,1.8
X8667,47.5,0.95,0.512,1.85,1.28
X8687,94,1.88,0.989,1.9,2.27
X8691,117.4,2.349,1.278,1.84,1.93
X8699,131.5,2.63,1.422,1.85,1.99
X8742,17.9,0.357,0.196,1.82,1.12
X8749,71.1,1.422,0.792,1.8,1.79
X8760,79.4,1.589,0.855,1.86,1.08
X8770,97.2,1.945,1.043,1.86,1.25
X8774,89,1.78,0.963,1.85,1.97
X8931,22.5,0.449,0.235,1.91,0.35
X8978,17.2,0.344,0.18,1.91,1.06
X9162,7.8,0.156,0.057,2.71,0.53
X9326,46.3,0.926,0.497,1.86,0.83
X6423,93.5,,,1.85,2.08
X6464,40,,,1.87,0.46
X6473,36,,,1.85,0.88
X6674,26.5,,,1.89,1.23
X6757,34,,,1.9,1.87
X6894,77.2,,,1.87,1.63
X7135,66.1,,,1.86,1.57
X7340,95.5,,,1.88,1.17
X7579,31.6,,,1.85,1.79
X7933,24.5,,,1.9,1.84
X8089,48.1,,,1.85,1.75
X8181,33.9,,,1.9,1.01
X8435,27.9,,,1.94,1.67
X8453,52.2,,,1.9,1.42
X8766,69.7,,,1.88,1.59
X8908,49,,,1.87,1.25
