"","Sample","ampMethod","FilteredReads","DNA_conc","P260_280","P260_230","fewReads"
"1","B1008","MultiAmp",75373,48.8,1.88,0.58,FALSE
"2","B1008","SingleAmp",30117,48.8,1.88,0.58,FALSE
"3","B1065","MultiAmp",96749,46.1,1.83,1.2,FALSE
"4","B1065","SingleAmp",62987,46.1,1.83,1.2,FALSE
"5","B1079","MultiAmp",82302,48.5,1.85,0.48,FALSE
"6","B1079","SingleAmp",55408,48.5,1.85,0.48,FALSE
"7","B1162","MultiAmp",61100,47.4,1.89,0.27,FALSE
"8","B1162","SingleAmp",110,47.4,1.89,0.27,TRUE
"9","B1287","MultiAmp",81173,50,1.9,0.09,FALSE
"10","B1287","SingleAmp",46313,50,1.9,0.09,FALSE
"11","B1303","MultiAmp",80487,52.7,1.86,1.23,FALSE
"12","B1303","SingleAmp",26315,52.7,1.86,1.23,FALSE
"13","B1430","MultiAmp",39732,50.8,1.89,1.52,FALSE
"14","B1430","SingleAmp",24445,50.8,1.89,1.52,FALSE
"15","B1445","MultiAmp",10,49.2,1.84,1.01,TRUE
"16","B1445","SingleAmp",33269,49.2,1.84,1.01,FALSE
"17","B1733","MultiAmp",73581,39.9,1.88,0.9,FALSE
"18","B1733","SingleAmp",40622,39.9,1.88,0.9,FALSE
"19","B1830","MultiAmp",107385,49.1,1.84,1.01,FALSE
"20","B1830","SingleAmp",51117,49.1,1.84,1.01,FALSE
"21","B1885","MultiAmp",91046,52.4,1.79,0.67,FALSE
"22","B1885","SingleAmp",17312,52.4,1.79,0.67,FALSE
"23","B1892","MultiAmp",110863,64.6,1.82,0.64,FALSE
"24","B1892","SingleAmp",41985,64.6,1.82,0.64,FALSE
"25","B2198","MultiAmp",82772,50.7,1.888,1.16,FALSE
"26","B2198","SingleAmp",29957,50.7,1.888,1.16,FALSE
"27","B2250","MultiAmp",83415,49.5,1.9,0.99,FALSE
"28","B2250","SingleAmp",78448,49.5,1.9,0.99,FALSE
"29","B2287","MultiAmp",113145,50.4,1.88,1.25,FALSE
"30","B2287","SingleAmp",47560,50.4,1.88,1.25,FALSE
"31","B2293","MultiAmp",79647,51.1,1.92,2.08,FALSE
"32","B2293","SingleAmp",75784,51.1,1.92,2.08,FALSE
"33","B2400","MultiAmp",78749,51.6,1.93,0.23,FALSE
"34","B2400","SingleAmp",42242,51.6,1.93,0.23,FALSE
"35","B2530","MultiAmp",158815,51.4,1.91,1.74,FALSE
"36","B2530","SingleAmp",34415,51.4,1.91,1.74,FALSE
"37","B2536","MultiAmp",86574,49,1.91,1.93,FALSE
"38","B2536","SingleAmp",27602,49,1.91,1.93,FALSE
"39","B2703","MultiAmp",141250,50,1.76,0.17,FALSE
"40","B2703","SingleAmp",26204,50,1.76,0.17,FALSE
"41","B2714","MultiAmp",101662,48,1.8,0.87,FALSE
"42","B2714","SingleAmp",31549,48,1.8,0.87,FALSE
"43","B2867","MultiAmp",102878,51.8,1.85,0.5,FALSE
"44","B2867","SingleAmp",25420,51.8,1.85,0.5,FALSE
"45","B2905","MultiAmp",2,52.3,1.91,0.19,TRUE
"46","B2905","SingleAmp",42473,52.3,1.91,0.19,FALSE
"47","B2926","MultiAmp",77151,50.7,1.9,1.52,FALSE
"48","B2926","SingleAmp",70680,50.7,1.9,1.52,FALSE
"49","B2980","MultiAmp",86067,49.7,1.87,1.33,FALSE
"50","B2980","SingleAmp",33720,49.7,1.87,1.33,FALSE
"51","B318","MultiAmp",103963,50.4,1.9,1.72,FALSE
"52","B318","SingleAmp",43807,50.4,1.9,1.72,FALSE
"53","B3242","MultiAmp",2514,48.8,1.89,0.33,TRUE
