"","Sample","ampMethod","FilteredReads","DNA_conc","P260_280","P260_230","fewReads"
"54","B3242","SingleAmp",29096,48.8,1.89,0.33,FALSE
"55","B3321","MultiAmp",64166,50,1.7,0.48,FALSE
"56","B3321","SingleAmp",31028,50,1.7,0.48,FALSE
"57","B3354","MultiAmp",89575,51.8,1.86,1.51,FALSE
"58","B3354","SingleAmp",28079,51.8,1.86,1.51,FALSE
"59","B3358","MultiAmp",63602,50.6,1.9,0.96,FALSE
"60","B3358","SingleAmp",41548,50.6,1.9,0.96,FALSE
"61","B340","MultiAmp",72605,51.7,1.86,0.18,FALSE
"62","B340","SingleAmp",60425,51.7,1.86,0.18,FALSE
"63","B3538","MultiAmp",84470,51.5,1.92,1.21,FALSE
"64","B3538","SingleAmp",49753,51.5,1.92,1.21,FALSE
"65","B3543","MultiAmp",24,52.8,1.84,0.38,TRUE
"66","B3543","SingleAmp",12537,52.8,1.84,0.38,FALSE
"67","B425","MultiAmp",107448,45.9,1.94,1.62,FALSE
"68","B425","SingleAmp",79867,45.9,1.94,1.62,FALSE
"69","B4285","MultiAmp",3728,50,1.81,0.89,TRUE
"70","B4285","SingleAmp",65544,50,1.81,0.89,FALSE
"71","B4290","MultiAmp",110164,48,1.81,0.34,FALSE
"72","B4290","SingleAmp",40585,48,1.81,0.34,FALSE
"73","B433","MultiAmp",45834,62.3,1.76,0.49,FALSE
"74","B433","SingleAmp",53581,62.3,1.76,0.49,FALSE
"75","B4345","MultiAmp",33,48.1,1.84,0.79,TRUE
"76","B4345","SingleAmp",27548,48.1,1.84,0.79,FALSE
"77","B4360","MultiAmp",97491,50.9,1.85,1.12,FALSE
"78","B4360","SingleAmp",43531,50.9,1.85,1.12,FALSE
"79","B4368","MultiAmp",38595,48.7,1.94,0.44,FALSE
"80","B4368","SingleAmp",102098,48.7,1.94,0.44,FALSE
"81","B4372","MultiAmp",121070,52.1,1.9,1.35,FALSE
"82","B4372","SingleAmp",22181,52.1,1.9,1.35,FALSE
"83","B4420","MultiAmp",5,51.2,1.35,0.47,TRUE
"84","B4420","SingleAmp",26617,51.2,1.35,0.47,FALSE
"85","B4604","MultiAmp",158643,50.3,1.86,1.04,FALSE
"86","B4604","SingleAmp",70146,50.3,1.86,1.04,FALSE
"87","B4621","MultiAmp",94439,51.7,1.87,1.33,FALSE
"88","B4621","SingleAmp",55176,51.7,1.87,1.33,FALSE
"89","B4940","MultiAmp",222822,50,1.89,0.98,FALSE
"90","B4940","SingleAmp",32233,50,1.89,0.98,FALSE
"91","B4988","MultiAmp",90808,49.6,1.85,0.52,FALSE
"92","B4988","SingleAmp",34500,49.6,1.85,0.52,FALSE
"93","B5027","MultiAmp",99681,50,1.82,0.36,FALSE
"94","B5027","SingleAmp",1,50,1.82,0.36,TRUE
"95","B5035","MultiAmp",107266,49.2,1.86,0.57,FALSE
"96","B5035","SingleAmp",27523,49.2,1.86,0.57,FALSE
"97","B5039","MultiAmp",111337,51.9,1.48,0.77,FALSE
"98","B5039","SingleAmp",29658,51.9,1.48,0.77,FALSE
"99","B5080","MultiAmp",67763,49.2,1.79,0.52,FALSE
"100","B5080","SingleAmp",4,49.2,1.79,0.52,TRUE
"101","B5084","MultiAmp",69792,51.8,1.88,1.03,FALSE
"102","B5084","SingleAmp",12,51.8,1.88,1.03,TRUE
"103","B540","MultiAmp",95329,51.9,1.88,0.9,FALSE
"104","B540","SingleAmp",8387,51.9,1.88,0.9,FALSE
"105","B574","MultiAmp",21,50.7,1.86,0.21,TRUE
"106","B574","SingleAmp",575,50.7,1.86,0.21,TRUE
"107","B610","MultiAmp",91925,48.6,1.82,0.18,FALSE
"108","B610","SingleAmp",177342,48.6,1.82,0.18,FALSE
"109","B6149","MultiAmp",64953,53.1,1.92,0.12,FALSE
"110","B6149","SingleAmp",47500,53.1,1.92,0.12,FALSE
"111","B6240","MultiAmp",95586,51.4,1.91,1.64,FALSE
"112","B6240","SingleAmp",61742,51.4,1.91,1.64,FALSE
"113","B6255","MultiAmp",88321,52.5,1.82,0.43,FALSE
"114","B6255","SingleAmp",25044,52.5,1.82,0.43,FALSE
"115","B6279","MultiAmp",58402,51.5,1.76,0.51,FALSE
"116","B6279","SingleAmp",65897,51.5,1.76,0.51,FALSE
"117","B6288","MultiAmp",98737,50.6,1.82,0.84,FALSE
"118","B6288","SingleAmp",36313,50.6,1.82,0.84,FALSE
"119","B6318","MultiAmp",115699,52,1.9,0.98,FALSE
"120","B6318","SingleAmp",61957,52,1.9,0.98,FALSE
"121","B6320","MultiAmp",66553,45.7,1.87,0.75,FALSE
"122","B6320","SingleAmp",58875,45.7,1.87,0.75,FALSE
"123","B635","MultiAmp",86500,50,1.83,1.69,FALSE
"124","B635","SingleAmp",57,50,1.83,1.69,TRUE
"125","B6359","MultiAmp",123515,52.4,1.94,1.09,FALSE
"126","B6359","SingleAmp",58026,52.4,1.94,1.09,FALSE
"127","B6437","MultiAmp",82620,49.5,1.87,0.66,FALSE
"128","B6437","SingleAmp",30390,49.5,1.87,0.66,FALSE
"129","B6477","MultiAmp",54044,10.6,2.09,1.37,FALSE
"130","B6477","SingleAmp",2107,10.6,2.09,1.37,TRUE
"131","B6492","MultiAmp",86274,51.9,1.81,0.76,FALSE
"132","B6492","SingleAmp",107176,51.9,1.81,0.76,FALSE
"133","B6501","MultiAmp",31866,52,1.85,1.15,FALSE
"134","B6501","SingleAmp",62866,52,1.85,1.15,FALSE
"135","B6506","MultiAmp",101248,50.5,1.88,0.31,FALSE
"136","B6506","SingleAmp",22966,50.5,1.88,0.31,FALSE
"137","B6728","MultiAmp",86844,49.4,1.93,1.47,FALSE
"138","B6728","SingleAmp",32,49.4,1.93,1.47,TRUE
"139","B6739","MultiAmp",6099,51.2,1.82,0.62,FALSE
"140","B6739","SingleAmp",85910,51.2,1.82,0.62,FALSE
"141","B6994","MultiAmp",140904,50.3,1.9,1.97,FALSE
"142","B6994","SingleAmp",58054,50.3,1.9,1.97,FALSE
"143","B7103","MultiAmp",95097,49.3,1.86,1.34,FALSE
"144","B7103","SingleAmp",61706,49.3,1.86,1.34,FALSE
"145","B7118","MultiAmp",75732,52.8,1.86,0.74,FALSE
"146","B7118","SingleAmp",62283,52.8,1.86,0.74,FALSE
"147","B7187","MultiAmp",245,49.4,1.91,0.79,TRUE
"148","B7187","SingleAmp",18760,49.4,1.91,0.79,FALSE
"149","B7214","MultiAmp",150245,49.2,1.84,1.26,FALSE
"150","B7214","SingleAmp",60875,49.2,1.84,1.26,FALSE
"151","B7255","MultiAmp",91079,51.5,1.86,0.64,FALSE
"152","B7255","SingleAmp",34046,51.5,1.86,0.64,FALSE
"153","B7274","MultiAmp",29784,51.9,1.9,1.86,FALSE
"154","B7274","SingleAmp",31513,51.9,1.9,1.86,FALSE
"155","B740","MultiAmp",75377,51.7,1.84,1.53,FALSE
"156","B740","SingleAmp",89,51.7,1.84,1.53,TRUE
"157","B7607","MultiAmp",69224,50.8,2.04,0.08,FALSE
"158","B7607","SingleAmp",66259,50.8,2.04,0.08,FALSE
"159","B7706","MultiAmp",18593,45.2,1.94,0.1,FALSE
"160","B7706","SingleAmp",63987,45.2,1.94,0.1,FALSE
"161","B7715","MultiAmp",83596,51.5,1.9,1.37,FALSE
"162","B7715","SingleAmp",16648,51.5,1.9,1.37,FALSE
"163","B783","MultiAmp",61889,29.4,1.81,1.23,FALSE
"164","B783","SingleAmp",55675,29.4,1.81,1.23,FALSE
"165","B7860","MultiAmp",75586,49.2,1.83,0.42,FALSE
"166","B7860","SingleAmp",34061,49.2,1.83,0.42,FALSE
"167","B7901","MultiAmp",87930,52,1.8,0.63,FALSE
"168","B7901","SingleAmp",45524,52,1.8,0.63,FALSE
"169","B7947","MultiAmp",15301,50.1,1.89,1.02,FALSE
"170","B7947","SingleAmp",40765,50.1,1.89,1.02,FALSE
"171","B8097","MultiAmp",84883,52.5,1.89,0.43,FALSE
"172","B8097","SingleAmp",38103,52.5,1.89,0.43,FALSE
"173","B8149","MultiAmp",78026,49,1.85,1.49,FALSE
"174","B8149","SingleAmp",30064,49,1.85,1.49,FALSE
"175","B8154","MultiAmp",110565,50.5,1.88,1.44,FALSE
"176","B8154","SingleAmp",20901,50.5,1.88,1.44,FALSE
"177","B8175","MultiAmp",81538,51.5,1.91,0.96,FALSE
"178","B8175","SingleAmp",37309,51.5,1.91,0.96,FALSE
"179","B8180","MultiAmp",39069,47.6,1.89,1.65,FALSE
"180","B8180","SingleAmp",10,47.6,1.89,1.65,TRUE
"181","B824","MultiAmp",72842,51.7,1.91,1.84,FALSE
"182","B824","SingleAmp",47959,51.7,1.91,1.84,FALSE
"183","B8276","MultiAmp",55186,50.8,1.84,1.23,FALSE
"184","B8276","SingleAmp",236,50.8,1.84,1.23,TRUE
"185","B8320","MultiAmp",100014,23.2,1.88,1.38,FALSE
"186","B8320","SingleAmp",27068,23.2,1.88,1.38,FALSE
"187","B8332","MultiAmp",76016,51.4,1.92,1.77,FALSE
"188","B8332","SingleAmp",45041,51.4,1.92,1.77,FALSE
"189","B8366","MultiAmp",71467,52,1.86,0.81,FALSE
"190","B8366","SingleAmp",40534,52,1.86,0.81,FALSE
"191","B8390","MultiAmp",108208,51.5,1.88,1.01,FALSE
"192","B8390","SingleAmp",63577,51.5,1.88,1.01,FALSE
"193","B841","MultiAmp",125995,52.1,1.83,1.2,FALSE
"194","B841","SingleAmp",23616,52.1,1.83,1.2,FALSE
"195","B8423","MultiAmp",46822,49.9,1.84,1.44,FALSE
"196","B8423","SingleAmp",65624,49.9,1.84,1.44,FALSE
"197","B8427","MultiAmp",103759,52,1.88,1.12,FALSE
"198","B8427","SingleAmp",2,52,1.88,1.12,TRUE
"199","B8452","MultiAmp",128130,49.9,1.88,1.41,FALSE
"200","B8452","SingleAmp",41671,49.9,1.88,1.41,FALSE
"201","B8459","MultiAmp",76810,49.1,1.85,0.56,FALSE
"202","B8459","SingleAmp",79236,49.1,1.85,0.56,FALSE
"203","B8589","MultiAmp",58996,49.2,1.87,0.41,FALSE
"204","B8589","SingleAmp",22736,49.2,1.87,0.41,FALSE
"205","B8601","MultiAmp",137243,51.3,1.87,1.39,FALSE
"206","B8601","SingleAmp",27410,51.3,1.87,1.39,FALSE
"207","B8634","MultiAmp",94376,51.8,1.82,1.34,FALSE
"208","B8634","SingleAmp",12000,51.8,1.82,1.34,FALSE
"209","B8661","MultiAmp",37145,50.9,1.86,1.02,FALSE
"210","B8661","SingleAmp",27949,50.9,1.86,1.02,FALSE
"211","B867","MultiAmp",83466,0.4,-0.42,0.12,FALSE
"212","B867","SingleAmp",71221,0.4,-0.42,0.12,FALSE
"213","B8718","MultiAmp",82088,49.6,1.84,1.01,FALSE
"214","B8718","SingleAmp",40907,49.6,1.84,1.01,FALSE
"215","B8738","MultiAmp",63514,50.1,1.81,1.36,FALSE
"216","B8738","SingleAmp",32228,50.1,1.81,1.36,FALSE
"217","B8742","MultiAmp",81247,120.4,1.87,1.01,FALSE
"218","B8742","SingleAmp",30158,120.4,1.87,1.01,FALSE
"219","B8748","MultiAmp",441,56.8,1.87,0.18,TRUE
"220","B8748","SingleAmp",69150,56.8,1.87,0.18,FALSE
"221","B8751","MultiAmp",60598,51,1.9,0.75,FALSE
"222","B8751","SingleAmp",0,51,1.9,0.75,TRUE
"223","B8825","MultiAmp",57561,52.1,1.83,1.36,FALSE
"224","B8825","SingleAmp",56279,52.1,1.83,1.36,FALSE
"225","B8833","MultiAmp",127356,65,1.87,0.35,FALSE
"226","B8833","SingleAmp",27320,65,1.87,0.35,FALSE
"227","B8846","MultiAmp",71522,49.7,1.88,1.77,FALSE
"228","B8846","SingleAmp",62320,49.7,1.88,1.77,FALSE
"229","B8861","MultiAmp",132256,50.9,1.86,1.02,FALSE
"230","B8861","SingleAmp",26341,50.9,1.86,1.02,FALSE
"231","B8929","MultiAmp",82153,60.2,1.84,0.56,FALSE
"232","B8929","SingleAmp",101,60.2,1.84,0.56,TRUE
"233","B8964","MultiAmp",93319,48.1,1.84,1.6,FALSE
"234","B8964","SingleAmp",35232,48.1,1.84,1.6,FALSE
"235","B897","MultiAmp",109055,86.5,1.78,0.92,FALSE
"236","B897","SingleAmp",35926,86.5,1.78,0.92,FALSE
"237","B8988","MultiAmp",67765,49.2,1.85,0.12,FALSE
"238","B8988","SingleAmp",29023,49.2,1.85,0.12,FALSE
"239","B8996","MultiAmp",13900,51.2,1.86,1.05,FALSE
"240","B8996","SingleAmp",58738,51.2,1.86,1.05,FALSE
"241","B9023","MultiAmp",75651,50.9,1.83,1.26,FALSE
"242","B9023","SingleAmp",71726,50.9,1.83,1.26,FALSE
"243","B9030","MultiAmp",90204,49.6,1.86,0.62,FALSE
"244","B9030","SingleAmp",33700,49.6,1.86,0.62,FALSE
"245","B9034","MultiAmp",64567,51.3,1.91,0.44,FALSE
"246","B9034","SingleAmp",32404,51.3,1.91,0.44,FALSE
"247","B9123","MultiAmp",87597,56.8,1.83,0.79,FALSE
"248","B9123","SingleAmp",61754,56.8,1.83,0.79,FALSE
"249","B9157","MultiAmp",873,48.2,1.82,0.21,TRUE
"250","B9157","SingleAmp",69344,48.2,1.82,0.21,FALSE
"251","B9161","MultiAmp",79952,52.6,1.81,0.95,FALSE
"252","B9161","SingleAmp",21814,52.6,1.81,0.95,FALSE
"253","B9185","MultiAmp",72818,48.6,1.8,0.94,FALSE
"254","B9185","SingleAmp",26437,48.6,1.8,0.94,FALSE
"255","B9221","MultiAmp",80363,52.5,1.87,0.45,FALSE
"256","B9221","SingleAmp",51808,52.5,1.87,0.45,FALSE
"257","B923","MultiAmp",56891,50.7,1.85,1.19,FALSE
"258","B923","SingleAmp",56985,50.7,1.85,1.19,FALSE
"259","B9444","MultiAmp",38187,51,1.89,0.82,FALSE
"260","B9444","SingleAmp",66264,51,1.89,0.82,FALSE
"261","B9474","MultiAmp",91438,52.6,1.88,0.65,FALSE
"262","B9474","SingleAmp",21956,52.6,1.88,0.65,FALSE
"263","B9482","MultiAmp",50849,48.8,1.8,1.26,FALSE
"264","B9482","SingleAmp",45505,48.8,1.8,1.26,FALSE
"265","B9730","MultiAmp",55217,52.6,1.86,1.14,FALSE
"266","B9730","SingleAmp",53844,52.6,1.86,1.14,FALSE
"267","B9758","MultiAmp",99622,50.6,1.83,0.35,FALSE
"268","B9758","SingleAmp",52750,50.6,1.83,0.35,FALSE
"269","B981","MultiAmp",40032,64.4,1.78,1.19,FALSE
"270","B981","SingleAmp",8229,64.4,1.78,1.19,FALSE
"271","B9813","MultiAmp",115082,50.1,1.79,1.11,FALSE
"272","B9813","SingleAmp",37711,50.1,1.79,1.11,FALSE
"273","B9823","MultiAmp",116746,51,1.88,1.1,FALSE
"274","B9823","SingleAmp",41172,51,1.88,1.1,FALSE
"275","B9837","MultiAmp",7437,51.7,1.86,0.96,FALSE
"276","B9837","SingleAmp",51423,51.7,1.86,0.96,FALSE
"277","B9861","MultiAmp",81038,51.9,1.78,1.14,FALSE
"278","B9861","SingleAmp",44174,51.9,1.78,1.14,FALSE
"279","B990","MultiAmp",12105,47,1.88,0.08,FALSE
"280","B990","SingleAmp",50245,47,1.88,0.08,FALSE
"281","B9915","MultiAmp",81780,50.6,1.87,1.9,FALSE
"282","B9915","SingleAmp",72569,50.6,1.87,1.9,FALSE
"283","B9996","MultiAmp",63995,49.3,1.88,0.44,FALSE
"284","B9996","SingleAmp",47036,49.3,1.88,0.44,FALSE
"285","C0047","MultiAmp",96876,50,1.84,0.6,FALSE
"286","C0047","SingleAmp",1935,50,1.84,0.6,TRUE
"287","C0052","MultiAmp",50379,56.5,1.76,0.47,FALSE
"288","C0052","SingleAmp",98636,56.5,1.76,0.47,FALSE
"289","C0129","MultiAmp",65830,50.4,1.8,0.32,FALSE
"290","C0129","SingleAmp",10567,50.4,1.8,0.32,FALSE
"291","X3300","MultiAmp",53154,50.4,1.89,1.27,FALSE
"292","X3300","SingleAmp",47506,50.4,1.89,1.27,FALSE
"293","X3322","MultiAmp",82040,48.8,1.8,0.67,FALSE
"294","X3322","SingleAmp",13626,48.8,1.8,0.67,FALSE
"295","X4350","MultiAmp",7,50.9,1.91,2.54,TRUE
"296","X4350","SingleAmp",29212,50.9,1.91,2.54,FALSE
"297","X5461","MultiAmp",65491,52,1.85,0.94,FALSE
"298","X5461","SingleAmp",18378,52,1.85,0.94,FALSE
"299","X5506","MultiAmp",67483,48.8,1.8,0.45,FALSE
"300","X5506","SingleAmp",86236,48.8,1.8,0.45,FALSE
"301","X6415","MultiAmp",66918,49.6,1.87,0.46,FALSE
"302","X6415","SingleAmp",16493,49.6,1.87,0.46,FALSE
"303","X6423","MultiAmp",71199,98.9,1.86,2.04,FALSE
"304","X6423","SingleAmp",51993,98.9,1.86,2.04,FALSE
"305","X6423.2","MultiAmp",66051,51.9,1.93,1.62,FALSE
"306","X6423.2","SingleAmp",0,51.9,1.93,1.62,TRUE
"307","X6425","MultiAmp",102889,51.5,1.84,1.25,FALSE
"308","X6425","SingleAmp",21860,51.5,1.84,1.25,FALSE
"309","X6441","MultiAmp",76802,51.1,1.86,0.63,FALSE
"310","X6441","SingleAmp",15586,51.1,1.86,0.63,FALSE
"311","X6464.2","MultiAmp",60386,51.3,1.8,0.42,FALSE
"312","X6464.2","SingleAmp",39485,51.3,1.8,0.42,FALSE
"313","X6473.2","MultiAmp",81460,48.1,1.79,0.72,FALSE
"314","X6473.2","SingleAmp",95497,48.1,1.79,0.72,FALSE
"315","X6587","MultiAmp",65725,49.9,1.86,1.69,FALSE
"316","X6587","SingleAmp",17665,49.9,1.86,1.69,FALSE
"317","X6621","MultiAmp",101378,50.3,1.86,1.23,FALSE
"318","X6621","SingleAmp",26778,50.3,1.86,1.23,FALSE
"319","X6641","MultiAmp",110003,49.1,1.85,1.94,FALSE
"320","X6641","SingleAmp",33557,49.1,1.85,1.94,FALSE
"321","X6643","MultiAmp",38745,51.6,1.87,1.13,FALSE
"322","X6643","SingleAmp",49220,51.6,1.87,1.13,FALSE
"323","X6674","MultiAmp",6,51.5,1.85,0.95,TRUE
"324","X6674","SingleAmp",287,51.5,1.85,0.95,TRUE
"325","X6685","MultiAmp",37870,51.5,1.87,1.68,FALSE
"326","X6685","SingleAmp",71,51.5,1.87,1.68,TRUE
"327","X6689","MultiAmp",77109,50.8,1.85,1.27,FALSE
"328","X6689","SingleAmp",1,50.8,1.85,1.27,TRUE
"329","X6753","MultiAmp",91347,51.8,1.85,0.87,FALSE
"330","X6753","SingleAmp",21190,51.8,1.85,0.87,FALSE
"331","X6757.2","MultiAmp",83179,52.3,1.84,1.61,FALSE
"332","X6757.2","SingleAmp",29260,52.3,1.84,1.61,FALSE
"333","X6824","MultiAmp",75349,52.4,1.85,1.38,FALSE
"334","X6824","SingleAmp",63,52.4,1.85,1.38,TRUE
"335","X6867","MultiAmp",74162,52.5,1.88,0.34,FALSE
"336","X6867","SingleAmp",28824,52.5,1.88,0.34,FALSE
"337","X6889","MultiAmp",49716,52,1.86,0.85,FALSE
"338","X6889","SingleAmp",45193,52,1.86,0.85,FALSE
"339","X6894","MultiAmp",130753,51.7,1.82,1,FALSE
"340","X6894","SingleAmp",46760,51.7,1.82,1,FALSE
"341","X6894.2","MultiAmp",72021,51,1.87,1.53,FALSE
"342","X6894.2","SingleAmp",24770,51,1.87,1.53,FALSE
"343","X6988","MultiAmp",93230,50.4,1.87,2.59,FALSE
"344","X6988","SingleAmp",29212,50.4,1.87,2.59,FALSE
"345","X6992","MultiAmp",105343,51.3,1.84,1.66,FALSE
"346","X6992","SingleAmp",21053,51.3,1.84,1.66,FALSE
"347","X7063","MultiAmp",66019,54.3,1.8,1.41,FALSE
"348","X7063","SingleAmp",2453,54.3,1.8,1.41,TRUE
"349","X7127","MultiAmp",268263,53.6,1.87,1.63,FALSE
"350","X7127","SingleAmp",23764,53.6,1.87,1.63,FALSE
"351","X7135.2","MultiAmp",111945,51.5,1.92,1.54,FALSE
"352","X7135.2","SingleAmp",53437,51.5,1.92,1.54,FALSE
"353","X7340.2","MultiAmp",78661,51.3,1.9,1.15,FALSE
"354","X7340.2","SingleAmp",69296,51.3,1.9,1.15,FALSE
"355","X7442","MultiAmp",26862,50,1.91,1.6,FALSE
"356","X7442","SingleAmp",62666,50,1.91,1.6,FALSE
"357","X7448","MultiAmp",34825,50.9,1.84,1,FALSE
"358","X7448","SingleAmp",32460,50.9,1.84,1,FALSE
"359","X7456","MultiAmp",109379,49.8,1.87,1.45,FALSE
"360","X7456","SingleAmp",35041,49.8,1.87,1.45,FALSE
"361","X7466","MultiAmp",110579,51.7,1.89,1.47,FALSE
"362","X7466","SingleAmp",46617,51.7,1.89,1.47,FALSE
"363","X7573","MultiAmp",54590,52,1.83,1.3,FALSE
"364","X7573","SingleAmp",27479,52,1.83,1.3,FALSE
"365","X7579","MultiAmp",119053,49,1.81,0.6,FALSE
"366","X7579","SingleAmp",35379,49,1.81,0.6,FALSE
"367","X7622","MultiAmp",90007,50.9,1.89,1.96,FALSE
"368","X7622","SingleAmp",23788,50.9,1.89,1.96,FALSE
"369","X7637","MultiAmp",67392,50.8,1.83,0.35,FALSE
"370","X7637","SingleAmp",75571,50.8,1.83,0.35,FALSE
"371","X7642","MultiAmp",86164,51.3,1.92,1.43,FALSE
"372","X7642","SingleAmp",24288,51.3,1.92,1.43,FALSE
"373","X7933","MultiAmp",244425,50.2,1.83,0.62,FALSE
"374","X7933","SingleAmp",6011,50.2,1.83,0.62,TRUE
"375","X7935","MultiAmp",83126,49.1,1.86,1.52,FALSE
"376","X7935","SingleAmp",45781,49.1,1.86,1.52,FALSE
"377","X7999","MultiAmp",55804,49.6,1.85,0.53,FALSE
"378","X7999","SingleAmp",45283,49.6,1.85,0.53,FALSE
"379","X8181.2","MultiAmp",79643,49,1.85,0.85,FALSE
"380","X8181.2","SingleAmp",0,49,1.85,0.85,TRUE
"381","X8286","MultiAmp",131053,47,1.84,0.57,FALSE
"382","X8286","SingleAmp",69,47,1.84,0.57,TRUE
"383","X8549","MultiAmp",104765,49.5,1.87,1.18,FALSE
"384","X8549","SingleAmp",13618,49.5,1.87,1.18,FALSE
"385","X8562","MultiAmp",35790,47.5,1.63,0.46,FALSE
"386","X8562","SingleAmp",113129,47.5,1.63,0.46,FALSE
"387","X8566","MultiAmp",60019,51.6,1.93,0.23,FALSE
"388","X8566","SingleAmp",19509,51.6,1.93,0.23,FALSE
"389","X8572","MultiAmp",47563,51.4,1.87,1.31,FALSE
"390","X8572","SingleAmp",31710,51.4,1.87,1.31,FALSE
"391","X8661","MultiAmp",5,51.8,1.89,1.85,TRUE
"392","X8661","SingleAmp",28435,51.8,1.89,1.85,FALSE
"393","X8667","MultiAmp",102480,47.5,1.85,1.28,FALSE
"394","X8667","SingleAmp",71992,47.5,1.85,1.28,FALSE
"395","X8687","MultiAmp",4930,51.6,1.88,2.21,TRUE
"396","X8687","SingleAmp",34189,51.6,1.88,2.21,FALSE
"397","X8691","MultiAmp",74586,51.5,1.89,2.08,FALSE
"398","X8691","SingleAmp",31353,51.5,1.89,2.08,FALSE
"399","X8699","MultiAmp",48293,51.1,1.85,1.99,FALSE
"400","X8699","SingleAmp",32100,51.1,1.85,1.99,FALSE
"401","X8749","MultiAmp",65123,49.7,1.9,1.91,FALSE
"402","X8749","SingleAmp",23600,49.7,1.9,1.91,FALSE
"403","X8760","MultiAmp",109508,51.1,1.89,1.08,FALSE
"404","X8760","SingleAmp",32648,51.1,1.89,1.08,FALSE
"405","X8766.2","MultiAmp",67008,51.1,1.91,1.52,FALSE
"406","X8766.2","SingleAmp",29672,51.1,1.91,1.52,FALSE
"407","X8770","MultiAmp",58959,50.1,1.86,1.22,FALSE
"408","X8770","SingleAmp",3,50.1,1.86,1.22,TRUE
"409","X8774","MultiAmp",114178,48.9,1.88,2,FALSE
"410","X8774","SingleAmp",307,48.9,1.88,2,TRUE
"411","X8931","MultiAmp",98320,50.2,1.87,0.32,FALSE
"412","X8931","SingleAmp",25779,50.2,1.87,0.32,FALSE
"413","X8978","MultiAmp",134425,51.2,1.84,0.96,FALSE
"414","X8978","SingleAmp",87,51.2,1.84,0.96,TRUE
