"","Df","SumOfSqs","R2","F","Pr(>F)"
"mucin",1,0.3402,0.011,1.3832,0.092
"age_sampling",1,0.4757,0.0154,1.9342,0.015
"Ancylostoma_egg_load",1,0.6755,0.0219,2.7467,0.001
"Residual",117,28.7734,0.9319,NA,NA
"Total",120,30.8756,1,NA,NA
